auxcosp,descr,unidad,grupplat
0.20716,CHINCHON SECO,ML,MR
0.5752429,CONTREAU,ML,MR
0.06724,CURACAO AZUL,ML,M00
0.5689067,DRAMBUIE,ML,M00
0.0172047,DRY SACK,ML,M00
0.2456933,DUBONET,ML,M00
0.1557067,FERNET,ML,MR
0.4178571,FRANGELICO,ML,MR
0.2529286,GALLIANO,ML,M00
0.62232,HYPNOTIQ,ML,M00
0.3712286,JAGERMEISTER,ML,MR
0.1554388,KAHLUA,ML,MR
0.0,LICOR DE DURAZNO,ML,M00
0.0896725,LICOR DE MANZANA,ML,M00
0.0,LICOR DE MELON,ML,M00
0.0,LICOR DE PLATANO,ML,M00
0.49644,LICOR DEL 43,ML,MR
0.0,LIMONCELLO PALLINI,ML,M00
0.6653571,MANDARINE NAPOLEON,ML,MR
0.2283467,MARTINI BIANCO,ML,MR
0.2574713,MARTINI EXTRA DRY,ML,MR
0.27604,MARTINI ROSSO,ML,MR
0.3664133,MIDORI,ML,MR
0.4332133,OPORTO FERREIRA,ML,MR
0.24978,PACHARAN,ML,M00
0.2882667,SAMBUCA ROMANA BLANCO,ML,MR
0.3326286,SAMBUCA ROMANA NEGRO,ML,MR
0.4787333,SISCA CASSIS,ML,MR
0.76356,STREGA,ML,MR
0.35356,TIO PEPE,ML,MR
1.64776,LOS DANZANTES REPOSADO,ML,MP
0.9631067,LOS DANZANTES BLANCO,ML,MP
2.20684,LOS DANZANTES AÑEJO,ML,MP
22.6279167,AGUA FIJI CHICA,PIEZA,M00
35.7,AGUA FIJI GRANDE,PIEZA,M00
0.0152059,AGUA MINERAL PET 600,ML,MS
6.125,AGUA NATURAL CIEL 273ML,PIEZA,MS
29.0,BOOST,PIEZA,MS
0.0238095,CLAMATO,ML,MS
0.0268363,JUGO DE ARANDANO,ML,MS
0.0199333,JUGO DE MANZANA,ML,MS
0.0185185,JUGO DE NARANJA,ML,MS
0.0199333,JUGO DE PIÑA,ML,MS
0.019025,JUGO DE TOMATE,ML,MS
0.023,JUGO DE UVA,ML,MS
0.0,JUGO DE MANGO,ML,M00
34.9,RED BULL,PIEZA,MS
12.0662222,AGUA PANNA NAT 500ML,PIEZA,MS
9.4881349,REFRESCO LATA,PIEZA,MS
0.1705733,CONTROY,ML,MR
0.120001,JAMON DE PIERNA,GR,M1
